DATETIME,Avg BRBG Total Cloud Cover [%],Avg CDOC Total Cloud Cover [%],Avg CDOC Thick Cloud Cover [%],Avg CDOC Thin Cloud Cover [%],Avg Sun Flag,Avg HCF Value,Avg Blue/Red_min,Avg Blue/Red_mid,Avg Blue/Red_max,Avg File Extension,Avg Global CMP22 (vent/cor) [W/m^2],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Solar Eclipse Shading,Avg Tower Dew Point Temp [deg C],Avg Total Cloud Cover [%],Avg Opaque Cloud Cover [%],Avg Avg Wind Speed @ 6ft [m/s],Avg Precipitation [mm],Avg Moisture,Avg Albedo (CMP11)
2021-10-08 07:00:00,13.6667,36.8333,0.0,36.8333,8.0,1.0367,0.9617,1.585,3.1533,1112.0,63.8407,85.6866,101.5014,0,-1.122,19.9667,10.4667,2.1028,0.0,0.0,0.2815
2021-10-08 08:00:00,56.1667,53.6667,26.0,27.6667,3.5,1.0217,0.9333,1.4367,3.3533,1112.0,176.1522,74.7881,111.734,0,-1.0662,61.8333,47.8667,0.8334,0.0,0.0,0.233
2021-10-08 09:00:00,73.0,66.3333,43.8333,22.5,3.0,1.0517,0.9267,1.28,2.6533,1112.0,361.7695,64.6156,123.3821,0,-0.2234,91.6167,77.2333,0.3564,0.0,0.0,0.2085
2021-10-08 10:00:00,38.8333,54.1667,18.0,36.1667,3.0,1.03,0.9367,1.45,3.085,1112.0,582.2481,55.8601,137.3319,0,0.5125,69.7667,39.2167,1.8796,0.0,0.0,0.2065
2021-10-08 11:00:00,62.3333,51.3333,25.1667,26.1667,3.0,1.055,0.985,1.27,2.0233,1112.0,632.4995,49.3991,154.2831,0,-0.3288,91.8833,69.2,2.6331,0.0,0.0,0.2002
2021-10-08 12:00:00,59.5,48.5,36.1667,12.3333,3.0,0.9917,0.9767,1.27,1.73,1112.0,696.14,46.2576,173.9582,0,-1.8614,87.5167,56.3667,2.832,0.0,0.0,0.1978
2021-10-08 13:00:00,98.8333,68.0,68.0,0.0,3.0,0.98,0.975,1.14,1.5633,1112.0,487.6944,47.1156,194.4086,0,-1.0506,98.8833,90.8833,2.7539,0.0,0.0,0.195
2021-10-08 14:00:00,99.5,74.5,74.5,0.0,0.5,1.0067,0.985,1.125,1.335,1112.0,200.3276,51.7738,213.0742,0,-1.1666,99.6833,96.8167,2.0988,0.0,0.0,0.1779
2021-10-08 15:00:00,100.0,69.3333,69.3333,0.0,0.0,1.0167,0.9983,1.1233,1.2683,1112.0,82.5331,59.326,228.7101,0,-0.3941,99.1333,97.8333,2.071,0.0,0.01,0.174
2021-10-08 16:00:00,99.5,71.1667,62.8333,8.3333,0.0,0.8317,0.995,1.16,1.5567,1112.0,86.93,68.7751,241.5739,0,1.3514,97.2,91.8,2.3799,0.0,0.0033,0.1744
